Author 1, Author 2, P(1->2), P(2->1),P(1->2)*P(2->1),(P(1->2)+P(2->1))/2, (P(1->2)^2+P(2->1)^2)/2, Encode 1, Encode 2
Ariovistvs ,Bleiben Sie sachlich ,0.029294698467460932,0.05559139370441453,0.0016285331159567296,0.04244304608593773,0.0019742912061493385,0 ,1
Ariovistvs ,CETAoderGoodByeGermany ,0.02135972547361799,0.04483805069449933,0.0009577284536066722,0.03309888808405866,0.0012333443311954087,0 ,2
Ariovistvs ,Eckard P. ,0.010950828742809029,0.028275426376262812,0.00030963935187635933,0.01961312755953592,0.0004597101934568956,0 ,3
Ariovistvs ,Friwi ,0.034246256706728574,0.02951387290787037,0.0010107396680126904,0.03188006480729947,0.0010219373962225382,0 ,4
Ariovistvs ,Gamma Ray Burst ,0.047201733076040954,0.039241009179139474,0.0018522436409082145,0.04322137112759021,0.0018839302033895637,0 ,5
Ariovistvs ,Hans_Joachim ,0.022955595912530588,0.03316426131465723,0.0007613053814768419,0.02805992861359391,0.0008134138061231306,0 ,6
Ariovistvs ,Jan Reiter ,0.021173840311385205,0.015311567664757544,0.0003242046886505455,0.018242703988071374,0.00034138780894224497,0 ,7
Ariovistvs ,Jordanes ,0.01934825712198826,0.005685014931918838,0.00010999513064510825,0.012516636026953548,0.0002033372242173548,0 ,8
Ariovistvs ,JuJuMila ,0.03182172330968208,0.011473303444199903,0.00036510028764935175,0.021647513376940992,0.0005721293831603267,0 ,9
Ariovistvs ,Lea Paul ,0.03976291550759579,0.040868333026428436,0.0016250440730661603,0.040315624267012115,0.0016256550470116313,0 ,10
Ariovistvs ,Leute von heute ,0.047645101283177456,0.030418623573918245,0.0014492984010741842,0.03903186242854785,0.0015976741682079865,0 ,11
Ariovistvs ,Lucy Meineke ,0.03765069901770532,0.03487290901957814,0.0013129894013679576,0.03626180401864173,0.0013168474600048054,0 ,12
Ariovistvs ,Mahlsdorfer ,0.0425233394401837,0.032928087852197925,0.001400212256855202,0.03772571364619082,0.0014462466833735736,0 ,13
Ariovistvs ,Maik12 ,0.024007067916481148,0.027486292715833086,0.0006598652960012859,0.025746680316157115,0.0006659177986034987,0 ,14
Ariovistvs ,Peter Pekster ,0.01393776094397262,0.021693440557054574,0.00030235798853650683,0.017815600750513597,0.0003324332716668944,0 ,15
Ariovistvs ,R.B.C. ,0.014143271319205923,0.028189057288376538,0.0003986854854621486,0.02116616430379123,0.0004973275372080236,0 ,16
Ariovistvs ,Ribald Corello ,0.009540746801879222,0.011876558198195735,0.0001133112346467684,0.01070865250003748,0.00011603924208634947,0 ,17
Ariovistvs ,Richi Rich ,0.00839196993791166,0.018164553961602263,0.00015243639078134035,0.013278261949756962,0.00020018809003138677,0 ,18
Ariovistvs ,Sumtina ,0.009200972699570409,0.015591540400910962,0.00014345733757303083,0.012396256550240684,0.00016387701534573937,0 ,19
Ariovistvs ,Super-Duper Missile ,0.03621740761894839,0.020497077837803645,0.000742351023049048,0.028357242728376017,0.0008659154072630212,0 ,20
Ariovistvs ,Superforecaster ,0.008857649525592001,2.2442944744036318e-05,1.987917388649008e-07,0.004440046235168018,3.922922940199449e-05,0 ,21
Ariovistvs ,Yankee Babe ,0.04417980276534807,0.02608868307358108,0.0011525928725984868,0.03513424291946457,0.0013162371784494063,0 ,22
Ariovistvs ,Zeit 12 ,0.03358927424223137,0.02144535269127718,0.0007203338327686837,0.027517313466754276,0.0007940712480865485,0 ,23
